time,Master1Paths4.FTASlave_1.PTP_Stack[0].offsetFromMaster:vector
0,0
0,0
10.063388923,0
10.18839854,0
10.31340784,0
10.438394856,0.00131547
10.563396228,0.00131597
10.688390487,0.00131331
10.813381135,0.000875806
10.938380317,1.501e-06
11.063387259,-0.00087336
11.188397301,-0.00102098
11.313395163,-0.00102098
11.438383063,0
11.56338751,0
11.688383724,0
11.813392586,0.00319682
11.93839027,0.00319682
12.063403127,0.00319682
12.188395425,0
12.313387171,0
12.438386304,0
12.563387176,-0.00319009
12.688379638,-0.00248164
12.813394924,-0.000709121
12.938383578,0
13.06339602,0
13.188389056,0
13.313389027,0.00779503
13.438393357,0.00779568
13.563396516,0.00779272
13.688393607,0
13.813398408,0
13.938389654,0
14.063387783,0
14.188384587,0
14.313391681,0
14.438394975,0
14.563384271,0
14.688394779,0
14.813397829,0.0190492
14.938401683,0.0190491
15.063393236,0.0126995
15.188404965,2.148e-06
15.313387698,-0.0126972
15.438391407,-0.0148137
15.563394417,0
15.688386659,0
15.813395027,0
15.93838916,0.0444451
16.063394617,0.0451485
16.188392784,0.0465594
16.313387831,0.0465594
16.438389903,0.0310407
16.563395084,1.168e-06
16.688391756,-0.0310352
16.813389214,-0.0362101
16.938385703,-0.0362101
17.063387346,0
17.18838005,0
17.313397622,0
17.438388678,0.113805
17.563389814,0.113806
17.688389651,0.113806
17.813398089,0
17.938388263,0
18.063405514,0
18.188388363,-0.113802
18.313394053,-0.0885129
18.438398171,-0.0252889
18.563390833,0
18.688385801,0
18.813394646,0
18.938402919,0.278182
19.063388789,0.278182
19.188389747,0.278179
19.313383739,0
19.438398875,0
19.563388761,0
19.688392681,0
19.813386867,0
19.938384683,0
20.063395463,0
20.188398421,0
20.313399452,0
20.438393572,0.67999
20.563384695,0.679989
20.68839367,0.45333
20.813393563,6.504e-06
20.938393842,-0.453319
21.063398606,-0.528877
21.188386844,0
21.313391556,0
21.438402664,0
21.563378524,1.58664
21.688400814,1.61183
21.813387573,1.6622
21.938388644,1.6622
22.063399003,1.10813
22.188395327,-1.21e-07
22.313402829,-1.10813
22.4383953,-1.29282
22.563399573,-1.29282
22.688385506,-0.369376
22.81339119,0.985003
22.938397453,0
23.063388277,0
23.188388268,0
23.313391134,2.77032
23.438396187,2.77032
23.563402895,1.84688
23.688386995,7.95e-07
23.813397238,-1.84688
23.938395424,-2.15469
24.063413099,0
24.188397297,0
24.313396148,0
24.438378722,0
24.563392317,0
24.688394569,4.6172
24.813383004,4.6172
24.938378116,4.6172
25.06340119,0
25.188391433,0
25.313399811,0
25.43839,0
25.563387146,0
25.688381679,0
25.813390015,7.18231
25.938390816,7.35332
26.063407374,7.69533
