time,Master1Paths4.timeDiff_AVG.ScaledTimeDiff:vector
0.01,-0.005
0.02,-0.005
0.03,-0.005
0.04,-0.005
0.05,-0.005
0.06,-0.005
0.07,-0.005
0.08,-0.005
0.09,-0.005
0.1,-0.005
0.11,-0.005
0.12,-0.005
0.13,-0.005
0.14,-0.005
0.15,-0.005
0.16,-0.005
0.17,-0.005
0.18,-0.005
0.19,-0.005
0.2,-0.005
0.21,-0.005
0.22,-0.005
0.23,-0.005
0.24,-0.005
0.25,-0.005
0.26,-0.005
0.27,-0.005
0.28,-0.005
0.29,-0.005
0.3,-0.005
0.31,-0.005
0.32,-0.005
0.33,-0.005
0.34,-0.005
0.35,-0.005
0.36,-0.005
0.37,-0.005
0.38,-0.005
0.39,-0.005
0.4,-0.005
0.41,-0.00374983
0.42,-0.00124948
0.43,0.0011814
0.44,0.00225158
0.45,0.00224405
0.46,0.00224103
0.47,0.00224103
0.48,0.00181296
0.49,0.000804035
0.5,-0.000151483
0.51,-0.00109768
0.52,-0.00152448
0.53,-0.00152448
0.54,-0.00152448
0.55,-0.00152448
0.56,-0.00119654
0.57,-0.000518816
0.58,9.76097e-05
0.59,9.76097e-05
0.6,0.000714035
0.61,0.000993036
0.62,0.000993036
0.63,0.000993036
0.64,0.000779827
0.65,0.000324767
0.66,-0.000112998
0.67,-0.000112998
0.68,-0.000519278
0.69,-0.000700721
0.7,-0.000700721
0.71,-0.000700721
0.72,-0.000548053
0.73,-0.000548053
0.74,-0.000232096
0.75,6.26237e-05
0.76,0.000349625
0.77,0.000476929
0.78,0.000476929
0.79,0.000476929
0.8,0.00037379
0.81,0.00037379
0.82,0.000159185
0.83,-4.09969e-05
0.84,-0.000236122
0.85,-0.000244778
0.86,-0.000246195
0.87,-0.000243066
0.88,-0.000237018
0.89,-6.29627e-05
0.9,0.000165549
0.91,0.000334774
0.92,0.00034462
0.93,0.000348694
0.94,0.000348993
0.95,0.000344729
0.96,0.000170709
0.97,-7.42496e-05
0.98,-7.85142e-05
0.99,-0.000309105
1,-0.000420913
1.01,-0.000423795
1.02,-0.000421426
1.03,-0.000412296
1.04,-0.000200744
1.05,0.000105622
1.06,0.000114752
1.07,0.000399589
1.08,0.000546117
1.09,0.000551083
1.1,0.000551096
1.11,0.000551097
1.12,0.000432637
1.13,0.000195379
1.14,-3.39369e-05
1.15,-0.000248169
1.16,-0.000256018
1.17,-0.000256019
1.18,-0.000253391
1.19,-0.00024584
1.2,-5.92324e-05
1.21,0.000179051
1.22,0.000354633
1.23,0.000364557
1.24,0.000436713
1.25,0.000437384
1.26,0.00043528
1.27,0.000425319
1.28,0.000205896
1.29,-0.000115049
1.3,-0.000404269
1.31,-0.00041423
1.32,-0.000548812
1.33,-0.000552343
1.34,-0.000552343
1.35,-0.000431728
1.36,-0.000431728
1.37,-0.000192634
1.38,3.97009e-05
1.39,0.000256999
1.4,0.000265341
1.41,0.00026461
1.42,0.000260891
