time,Master1Paths4.timeDiff_Std.ScaledTimeDiff:vector
30.01,4.241e-08
30.02,4.1714e-08
30.03,6.4394e-08
30.04,8.2125e-08
30.05,1.00181e-07
30.06,1.24061e-07
30.07,1.50979e-07
30.08,1.7927e-07
30.09,2.0585e-07
30.1,2.3243e-07
30.11,2.5901e-07
30.12,2.84042e-07
30.13,3.0385e-07
30.14,3.1624e-07
30.15,3.31686e-07
30.16,3.50423e-07
30.17,3.76013e-07
30.18,3.90821e-07
30.19,3.99113e-07
30.2,3.94913e-07
30.21,3.41094e-07
30.22,2.50551e-07
30.23,6.6331e-08
30.24,-1.21957e-07
30.25,-3.14777e-07
30.26,-5.07606e-07
30.27,-6.68852e-07
30.28,-7.70992e-07
30.29,-8.39251e-07
30.3,-8.98293e-07
30.31,-9.57343e-07
30.32,-9.87478e-07
30.33,-9.98503e-07
30.34,-9.69953e-07
30.35,-9.96731e-07
30.36,-1.07148e-06
30.37,-9.68974e-07
30.38,-7.98998e-07
30.39,-5.38938e-07
30.4,-2.70642e-07
30.41,-3.1734e-08
30.42,1.29846e-07
30.43,2.91434e-07
30.44,4.45948e-07
30.45,5.63548e-07
30.46,6.7791e-07
30.47,7.88522e-07
30.48,8.56422e-07
30.49,9.36961e-07
30.5,1.03157e-06
30.51,1.11479e-06
30.52,1.17811e-06
30.53,1.20622e-06
30.54,1.1666e-06
30.55,1.10932e-06
30.56,1.05444e-06
30.57,9.80123e-07
30.58,8.95834e-07
30.59,8.11544e-07
30.6,7.38398e-07
30.61,6.74908e-07
30.62,6.6245e-07
30.63,6.72656e-07
30.64,7.13356e-07
30.65,7.56008e-07
30.66,7.99009e-07
30.67,8.42009e-07
30.68,8.77415e-07
30.69,9.03665e-07
30.7,8.97375e-07
30.71,8.48567e-07
30.72,7.71684e-07
30.73,7.08394e-07
30.74,6.54094e-07
30.75,6.09804e-07
30.76,6.23694e-07
30.77,6.08745e-07
30.78,5.29045e-07
30.79,5.52737e-07
30.8,5.80131e-07
30.81,5.22431e-07
30.82,5.0191e-07
30.83,4.99502e-07
30.84,4.87902e-07
30.85,5.03377e-07
30.86,5.42267e-07
30.87,5.31966e-07
30.88,5.39502e-07
30.89,5.74492e-07
30.9,5.72758e-07
30.91,5.66889e-07
30.92,5.67079e-07
30.93,5.28968e-07
30.94,4.80099e-07
30.95,4.51699e-07
30.96,4.17193e-07
30.97,3.78274e-07
30.98,3.30674e-07
30.99,2.50068e-07
31,1.32758e-07
31.01,5.0905e-08
31.02,-7.9175e-08
31.03,-3.05705e-07
31.04,-4.98978e-07
31.05,-6.30261e-07
31.06,-5.77501e-07
31.07,-4.39684e-07
31.08,-2.59256e-07
