time,Master4Paths4.timeDiff_Std.ScaledTimeDiff:vector
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,3.2265e-08
0.42,8.5028e-08
0.43,1.77828e-07
0.44,2.79965e-07
0.45,3.89575e-07
0.46,6.77279e-07
0.47,9.66108e-07
0.48,1.25495e-06
0.49,1.4832e-06
0.5,1.6412e-06
0.51,1.65995e-06
0.52,1.75189e-06
0.53,1.83076e-06
0.54,1.73562e-06
0.55,1.63e-06
0.56,1.51505e-06
0.57,1.3519e-06
0.58,1.22357e-06
0.59,1.13101e-06
0.6,9.6842e-07
0.61,8.31865e-07
0.62,7.48695e-07
0.63,6.65518e-07
0.64,6.00347e-07
0.65,5.91167e-07
0.66,5.81238e-07
0.67,5.73112e-07
0.68,5.81122e-07
0.69,6.07242e-07
0.7,6.47862e-07
0.71,6.88482e-07
0.72,7.27073e-07
0.73,7.62993e-07
0.74,7.99348e-07
0.75,8.2509e-07
0.76,8.2641e-07
0.77,8.34056e-07
0.78,8.48283e-07
0.79,8.82503e-07
0.8,8.97903e-07
0.81,8.98358e-07
0.82,8.39988e-07
0.83,8.02953e-07
0.84,7.87783e-07
0.85,7.1294e-07
0.86,6.43223e-07
0.87,5.89843e-07
0.88,5.26244e-07
0.89,4.79066e-07
0.9,4.90476e-07
0.91,4.233e-07
0.92,3.33052e-07
0.93,3.44462e-07
0.94,3.55207e-07
0.95,3.65417e-07
0.96,4.48971e-07
0.97,5.24803e-07
0.98,5.89813e-07
0.99,6.70708e-07
1,7.48621e-07
1.01,8.14241e-07
1.02,8.71223e-07
1.03,9.22744e-07
1.04,9.62874e-07
1.05,9.95403e-07
1.06,1.02323e-06
1.07,1.05106e-06
1.08,1.06925e-06
1.09,1.07758e-06
1.1,1.07826e-06
1.11,1.07581e-06
1.12,1.06896e-06
1.13,1.09312e-06
1.14,1.11584e-06
1.15,1.11098e-06
1.16,1.13792e-06
1.17,1.17955e-06
1.18,1.21968e-06
1.19,1.25804e-06
1.2,1.29498e-06
1.21,1.33192e-06
1.22,1.29457e-06
1.23,1.15931e-06
1.24,9.2632e-07
1.25,6.83098e-07
1.26,4.50718e-07
1.27,3.61929e-07
1.28,3.03463e-07
1.29,1.57973e-07
1.3,7.8212e-08
1.31,4.3946e-08
1.32,9.4246e-08
1.33,1.92085e-07
1.34,3.38495e-07
1.35,5.43683e-07
1.36,7.53207e-07
1.37,9.62737e-07
1.38,1.19644e-06
1.39,1.41045e-06
1.4,1.5448e-06
1.41,1.67915e-06
1.42,1.81253e-06
1.43,1.93859e-06
1.44,2.04676e-06
1.45,2.14062e-06
1.46,2.17704e-06
1.47,2.21311e-06
1.48,2.24918e-06
1.49,2.28525e-06
1.5,2.28631e-06
1.51,2.20748e-06
1.52,2.14241e-06
1.53,2.07662e-06
1.54,1.98619e-06
1.55,1.89971e-06
1.56,1.81567e-06
1.57,1.73163e-06
1.58,1.65504e-06
1.59,1.5861e-06
1.6,1.49529e-06
1.61,1.41029e-06
1.62,1.33804e-06
1.63,1.27996e-06
1.64,1.2253e-06
1.65,1.17064e-06
1.66,1.18271e-06
1.67,1.24029e-06
1.68,1.40403e-06
1.69,1.56777e-06
1.7,1.73152e-06
1.71,2.03721e-06
1.72,2.27187e-06
1.73,2.41114e-06
1.74,2.4744e-06
1.75,2.47954e-06
1.76,2.37842e-06
1.77,2.28125e-06
1.78,2.18017e-06
1.79,2.05514e-06
1.8,1.93432e-06
1.81,1.81608e-06
1.82,1.69783e-06
1.83,1.57959e-06
1.84,1.46134e-06
1.85,1.35798e-06
1.86,1.23677e-06
1.87,1.08311e-06
1.88,9.5505e-07
1.89,8.49536e-07
1.9,7.94866e-07
1.91,7.66678e-07
1.92,7.42552e-07
1.93,6.56772e-07
1.94,6.08229e-07
1.95,5.89449e-07
1.96,6.38957e-07
1.97,6.88878e-07
1.98,7.38798e-07
1.99,8.20874e-07
2,9.3345e-07
2.01,1.10418e-06
2.02,1.26935e-06
2.03,1.41953e-06
2.04,1.51077e-06
2.05,1.53969e-06
2.06,1.52894e-06
2.07,1.49609e-06
2.08,1.45866e-06
2.09,1.41651e-06
2.1,1.27278e-06
2.11,1.12141e-06
2.12,9.70042e-07
2.13,8.20525e-07
2.14,7.03309e-07
2.15,6.84939e-07
2.16,7.43796e-07
2.17,8.41893e-07
2.18,9.63423e-07
2.19,1.1385e-06
2.2,1.35644e-06
2.21,1.47852e-06
2.22,1.59007e-06
2.23,1.68842e-06
2.24,1.7007e-06
2.25,1.68858e-06
2.26,1.65044e-06
2.27,1.59645e-06
2.28,1.53913e-06
2.29,1.49148e-06
2.3,1.44383e-06
2.31,1.39563e-06
2.32,1.33808e-06
2.33,1.2779e-06
2.34,1.21504e-06
2.35,1.21232e-06
2.36,1.19547e-06
2.37,1.14681e-06
2.38,1.20334e-06
2.39,1.28555e-06
2.4,1.36859e-06
2.41,1.45163e-06
2.42,1.52072e-06
2.43,1.48597e-06
