time,Master4Paths4.timeDiff_Std.ScaledTimeDiff:vector
0.01,-0.00406084
0.02,-0.00406084
0.03,-0.00406084
0.04,-0.00406084
0.05,-0.00406084
0.06,-0.00406084
0.07,-0.00406084
0.08,-0.00406084
0.09,-0.00406084
0.1,-0.00406084
0.11,-0.00406084
0.12,-0.00406084
0.13,-0.00406084
0.14,-0.00406084
0.15,-0.00406084
0.16,-0.00406084
0.17,-0.00406084
0.18,-0.00406084
0.19,-0.00406084
0.2,-0.00406084
0.21,-0.00406084
0.22,-0.00406084
0.23,-0.00406084
0.24,-0.00406084
0.25,-0.00406084
0.26,-0.00406084
0.27,-0.00406084
0.28,-0.00406084
0.29,-0.00406084
0.3,-0.00406084
0.31,-0.00406084
0.32,-0.00406084
0.33,-0.00406084
0.34,-0.00406084
0.35,-0.00406084
0.36,-0.00406084
0.37,-0.00406084
0.38,-0.00406084
0.39,-0.00406084
0.4,-0.00406084
0.41,-0.00406084
0.42,-0.00406084
0.43,-0.00406084
0.44,-0.00406084
0.45,-0.00406084
0.46,2.79067e-06
0.47,2.79067e-06
0.48,2.79067e-06
0.49,2.79067e-06
0.5,2.79067e-06
0.51,2.79067e-06
0.52,2.57724e-06
0.53,2.31014e-06
0.54,2.13022e-06
0.55,1.99531e-06
0.56,1.89317e-06
0.57,1.87905e-06
0.58,1.82369e-06
0.59,1.72626e-06
0.6,1.72427e-06
0.61,1.75818e-06
0.62,1.84135e-06
0.63,2.06583e-06
0.64,2.26519e-06
0.65,2.28267e-06
0.66,2.36111e-06
0.67,2.46364e-06
0.68,2.53433e-06
0.69,2.48343e-06
0.7,2.33562e-06
0.71,2.13208e-06
0.72,1.94193e-06
0.73,1.7697e-06
0.74,1.61025e-06
0.75,1.43666e-06
0.76,1.22681e-06
0.77,1.05595e-06
0.78,9.06652e-07
0.79,7.94392e-07
0.8,6.90671e-07
0.81,5.93373e-07
0.82,5.15703e-07
0.83,4.63201e-07
0.84,4.36331e-07
0.85,4.32392e-07
0.86,4.38656e-07
0.87,4.59476e-07
0.88,4.80861e-07
0.89,5.01991e-07
0.9,5.21911e-07
0.91,5.08868e-07
0.92,4.74437e-07
0.93,3.95367e-07
0.94,2.49081e-07
0.95,4.9101e-08
0.96,-1.50889e-07
0.97,-2.60431e-07
0.98,-2.51431e-07
0.99,-1.79318e-07
1,-7.6634e-08
1.01,7.3576e-08
1.02,2.23793e-07
1.03,3.45965e-07
1.04,3.42595e-07
1.05,3.2597e-07
1.06,3.012e-07
1.07,2.7642e-07
1.08,2.1393e-07
1.09,1.1295e-07
1.1,8.4703e-08
1.11,8.8702e-08
1.12,1.38712e-07
1.13,1.93968e-07
1.14,2.50481e-07
1.15,3.07001e-07
1.16,3.63522e-07
1.17,4.22923e-07
1.18,5.03443e-07
1.19,5.77398e-07
1.2,6.46128e-07
1.21,6.98334e-07
1.22,6.79915e-07
1.23,5.68745e-07
1.24,4.5236e-07
1.25,3.35187e-07
1.26,2.18007e-07
1.27,1.99353e-07
1.28,2.17432e-07
1.29,2.49342e-07
1.3,2.81258e-07
1.31,3.18585e-07
1.32,4.45205e-07
1.33,5.67928e-07
1.34,6.86658e-07
1.35,7.52297e-07
1.36,7.41462e-07
1.37,6.06692e-07
1.38,5.51941e-07
1.39,5.16472e-07
1.4,4.81002e-07
1.41,4.47579e-07
1.42,4.20995e-07
1.43,4.37615e-07
1.44,4.57682e-07
1.45,4.80502e-07
1.46,5.19754e-07
1.47,5.7779e-07
1.48,6.6032e-07
1.49,7.42851e-07
1.5,8.23323e-07
1.51,8.99163e-07
1.52,9.64942e-07
1.53,1.00638e-06
1.54,9.54227e-07
1.55,8.94515e-07
1.56,8.30094e-07
1.57,7.64634e-07
1.58,6.99174e-07
1.59,6.33714e-07
1.6,5.6321e-07
1.61,5.12004e-07
1.62,4.94334e-07
1.63,4.75212e-07
1.64,4.92194e-07
1.65,6.21724e-07
1.66,7.51664e-07
1.67,8.98012e-07
1.68,1.16396e-06
1.69,1.34396e-06
1.7,1.45561e-06
1.71,1.5609e-06
1.72,1.66616e-06
1.73,1.77142e-06
1.74,1.85227e-06
1.75,1.88973e-06
1.76,1.8374e-06
1.77,1.73694e-06
1.78,1.60117e-06
1.79,1.38133e-06
1.8,1.15337e-06
1.81,9.27224e-07
1.82,8.14464e-07
1.83,7.01699e-07
1.84,5.88929e-07
1.85,4.71315e-07
1.86,3.85813e-07
1.87,3.55343e-07
1.88,3.48984e-07
1.89,3.53573e-07
1.9,3.74093e-07
1.91,4.028e-07
1.92,4.3532e-07
1.93,4.6784e-07
1.94,5.07151e-07
1.95,5.51871e-07
1.96,6.59541e-07
1.97,7.69332e-07
1.98,8.81562e-07
1.99,9.37743e-07
2,9.7904e-07
2.01,1.00558e-06
2.02,1.00541e-06
2.03,9.96065e-07
2.04,9.86715e-07
2.05,9.56455e-07
2.06,9.13305e-07
2.07,8.70145e-07
2.08,8.30641e-07
2.09,7.94881e-07
2.1,7.67512e-07
2.11,7.40641e-07
2.12,7.13581e-07
2.13,6.98374e-07
2.14,6.86015e-07
2.15,6.73655e-07
2.16,6.51324e-07
2.17,6.29677e-07
2.18,6.47007e-07
2.19,6.16159e-07
2.2,5.46889e-07
2.21,4.3153e-07
2.22,3.19895e-07
2.23,2.13415e-07
2.24,1.9976e-07
2.25,1.92859e-07
2.26,1.69879e-07
2.27,1.65807e-07
2.28,1.72633e-07
2.29,1.99343e-07
2.3,2.41377e-07
2.31,2.91455e-07
2.32,3.19475e-07
2.33,3.56069e-07
2.34,4.01389e-07
2.35,4.36276e-07
2.36,4.70397e-07
2.37,5.04517e-07
2.38,5.2911e-07
2.39,5.5143e-07
2.4,5.7375e-07
2.41,5.90481e-07
2.42,5.96221e-07
2.43,5.40651e-07
2.44,4.85082e-07
2.45,4.29512e-07
2.46,3.7663e-07
2.47,3.63373e-07
2.48,4.02093e-07
2.49,4.45862e-07
2.5,5.09198e-07
2.51,6.15128e-07
2.52,6.75748e-07
2.53,7.20614e-07
2.54,7.64744e-07
2.55,8.51558e-07
2.56,9.63934e-07
2.57,1.06677e-06
2.58,1.16962e-06
2.59,1.27247e-06
2.6,1.35927e-06
2.61,1.47446e-06
2.62,1.64003e-06
2.63,1.7089e-06
2.64,1.74771e-06
2.65,1.76547e-06
2.66,1.70692e-06
2.67,1.61151e-06
2.68,1.50597e-06
2.69,1.40043e-06
2.7,1.29489e-06
2.71,1.20049e-06
2.72,1.11367e-06
2.73,1.03672e-06
2.74,1.00756e-06
2.75,9.89778e-07
2.76,9.81628e-07
2.77,1.00611e-06
2.78,1.03379e-06
2.79,1.02564e-06
2.8,1.04469e-06
2.81,1.07841e-06
2.82,1.08075e-06
2.83,1.09318e-06
2.84,1.11592e-06
2.85,1.08789e-06
2.86,1.06106e-06
2.87,1.04261e-06
2.88,1.0064e-06
2.89,9.65979e-07
2.9,9.25629e-07
2.91,8.85273e-07
2.92,8.46186e-07
2.93,8.16426e-07
2.94,7.91948e-07
2.95,7.71688e-07
2.96,8.09644e-07
2.97,8.47875e-07
2.98,8.86105e-07
2.99,8.77707e-07
3,8.73379e-07
3.01,8.94009e-07
3.02,9.12487e-07
3.03,9.22709e-07
3.04,8.99449e-07
3.05,9.00181e-07
3.06,9.16702e-07
3.07,9.51342e-07
3.08,9.55545e-07
3.09,9.28595e-07
3.1,9.02288e-07
3.11,8.8383e-07
3.12,8.7867e-07
3.13,8.58354e-07
3.14,8.28775e-07
3.15,7.81815e-07
3.16,7.50547e-07
3.17,7.18773e-07
3.18,6.29413e-07
3.19,4.96447e-07
3.2,3.28577e-07
3.21,1.62689e-07
3.22,3.8131e-08
3.23,-3.2359e-08
3.24,-7.7868e-08
3.25,-8.4945e-08
3.26,-1.3635e-08
3.27,1.23766e-07
3.28,2.83779e-07
3.29,4.43799e-07
3.3,5.39074e-07
3.31,5.93409e-07
3.32,6.27739e-07
3.33,6.50468e-07
3.34,6.61398e-07
3.35,6.65895e-07
3.36,6.70443e-07
3.37,6.75873e-07
3.38,6.80337e-07
3.39,6.83614e-07
3.4,6.83944e-07
3.41,6.81962e-07
3.42,6.79239e-07
3.43,6.78979e-07
3.44,6.78553e-07
3.45,6.77993e-07
3.46,7.38628e-07
3.47,7.99558e-07
3.48,8.60488e-07
3.49,9.4367e-07
3.5,1.03021e-06
3.51,1.11675e-06
3.52,1.29956e-06
3.53,1.50316e-06
3.54,1.65242e-06
3.55,1.78719e-06
3.56,1.91046e-06
3.57,1.99003e-06
3.58,2.00241e-06
3.59,1.94619e-06
3.6,1.86317e-06
3.61,1.78556e-06
3.62,1.72043e-06
3.63,1.65756e-06
3.64,1.59273e-06
3.65,1.52019e-06
3.66,1.42809e-06
3.67,1.33431e-06
3.68,1.29577e-06
3.69,1.23366e-06
3.7,1.15281e-06
3.71,1.03756e-06
3.72,9.3205e-07
3.73,8.3959e-07
