time,Nodes1Paths2.timeDiffObserver_Std.ScaledTimeDiff:vector
0.01,-0.00191721
0.02,-0.00191721
0.03,-0.00191721
0.04,-0.00191721
0.05,-0.00191721
0.06,-0.00191721
0.07,-0.00191721
0.08,-0.00191721
0.09,-0.00191721
0.1,-0.00191721
0.11,-0.00191721
0.12,-0.00191721
0.13,-0.00191721
0.14,-0.00191721
0.15,-0.00191721
0.16,-0.00191721
0.17,-0.00191721
0.18,-0.00191721
0.19,-0.00191721
0.2,-0.00191721
0.21,-0.00191721
0.22,-0.00191721
0.23,-0.00191721
0.24,-0.00191721
0.25,-0.00191721
0.26,-0.00191721
0.27,-0.00191721
0.28,-0.00191721
0.29,-0.00191721
0.3,-0.00191721
0.31,-0.00191721
0.32,-0.00191721
0.33,-0.00191721
0.34,-0.00191721
0.35,-0.00191721
0.36,-0.00191721
0.37,-0.00191721
0.38,-3.376e-06
0.39,-3.19198e-06
0.4,-2.44186e-06
0.41,-2.06534e-06
0.42,-1.85617e-06
0.43,-1.60011e-06
0.44,-1.33283e-06
0.45,-1.05666e-06
0.46,-1.18882e-06
0.47,-1.29867e-06
0.48,-1.3767e-06
0.49,-1.30746e-06
0.5,-1.22859e-06
0.51,-1.17792e-06
0.52,-1.17629e-06
0.53,-1.17467e-06
0.54,-1.0975e-06
0.55,-9.93636e-07
0.56,-8.73561e-07
0.57,-7.55081e-07
0.58,-6.32636e-07
0.59,-5.06146e-07
0.6,-3.26919e-07
0.61,-1.7952e-07
0.62,-9.282e-08
0.63,-3.43115e-07
0.64,-5.4958e-07
0.65,-3.7409e-07
0.66,-4.0271e-07
0.67,-5.06118e-07
0.68,-4.59528e-07
0.69,-3.87308e-07
0.7,-2.94718e-07
0.71,1.6663e-07
0.72,5.74486e-07
0.73,9.10016e-07
0.74,1.55724e-06
0.75,1.70002e-06
0.76,5.99844e-07
0.77,3.411e-08
0.78,-3.51533e-07
0.79,-7.49553e-07
0.8,-9.60383e-07
0.81,-1.04925e-06
0.82,-1.02057e-06
0.83,-9.29228e-07
