time,Nodes1Paths2.timeDiffObserver_Voted.ScaledTimeDiff:vector
0.01,-0.005
0.02,-0.005
0.03,-0.005
0.04,-0.005
0.05,-0.005
0.06,-0.005
0.07,-0.005
0.08,-0.005
0.09,-0.005
0.1,-0.005
0.11,-0.005
0.12,-0.005
0.13,-0.005
0.14,-0.005
0.15,-0.005
0.16,-0.005
0.17,-0.005
0.18,-0.005
0.19,-0.005
0.2,-0.005
0.21,-0.005
0.22,-0.005
0.23,-0.005
0.24,-0.005
0.25,-0.005
0.26,-0.005
0.27,-0.005
0.28,-0.005
0.29,-0.005
0.3,-0.005
0.31,-0.005
0.32,-0.005
0.33,-0.005
0.34,-0.005
0.35,6.74e-07
0.36,6.74e-07
0.37,6.74e-07
0.38,6.7804e-07
0.39,6.81629e-07
0.4,6.8094e-07
0.41,6.77929e-07
0.42,6.6695e-07
0.43,6.15651e-07
0.44,5.669e-07
0.45,5.20237e-07
0.46,4.86291e-07
0.47,4.5491e-07
0.48,4.2739e-07
0.49,4.01649e-07
0.5,3.75707e-07
0.51,3.5828e-07
0.52,3.41513e-07
0.53,3.2386e-07
0.54,3.04466e-07
0.55,2.87535e-07
0.56,2.73805e-07
0.57,2.54365e-07
0.58,2.4263e-07
0.59,2.3709e-07
0.6,2.2808e-07
0.61,2.19341e-07
0.62,2.16926e-07
0.63,2.12835e-07
0.64,2.06217e-07
0.65,1.99377e-07
0.66,1.97468e-07
0.67,1.96256e-07
0.68,1.90217e-07
0.69,1.8454e-07
0.7,1.796e-07
0.71,1.77593e-07
0.72,1.75961e-07
0.73,1.72721e-07
0.74,1.72748e-07
0.75,1.72444e-07
0.76,1.72784e-07
0.77,1.69562e-07
0.78,1.65906e-07
0.79,1.62669e-07
0.8,1.55377e-07
0.81,1.47393e-07
0.82,1.47404e-07
0.83,1.4811e-07
0.84,1.4776e-07
0.85,1.49553e-07
0.86,1.50499e-07
0.87,1.46635e-07
0.88,1.45234e-07
0.89,1.47794e-07
0.9,1.51334e-07
0.91,1.49544e-07
0.92,1.45196e-07
0.93,1.42366e-07
0.94,1.42105e-07
0.95,1.41399e-07
0.96,1.45119e-07
0.97,1.46832e-07
0.98,1.45482e-07
0.99,1.44565e-07
1,1.4611e-07
1.01,1.50851e-07
1.02,1.48235e-07
1.03,1.4365e-07
1.04,1.38901e-07
1.05,1.37438e-07
1.06,1.37944e-07
1.07,1.39453e-07
1.08,1.41845e-07
1.09,1.41695e-07
1.1,1.41605e-07
1.11,1.46628e-07
1.12,1.57469e-07
1.13,1.62189e-07
1.14,1.65439e-07
1.15,1.67977e-07
1.16,1.69975e-07
1.17,1.7018e-07
1.18,1.65e-07
1.19,1.59714e-07
1.2,1.55409e-07
1.21,1.52876e-07
1.22,1.49965e-07
1.23,1.50705e-07
1.24,1.51826e-07
1.25,1.54561e-07
1.26,1.59301e-07
1.27,1.5784e-07
1.28,1.53591e-07
1.29,1.53737e-07
1.3,1.54279e-07
